sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
91,2026-08-23T04:56:30.390Z,3003,15532032,22466560,206,25,22219,2,1,1,0,0,0,182,0,0
92,2026-08-23T04:57:10.369Z,3043,15749120,22466560,218,29,22406,2,1,1,0,0,0,184,0,0
93,2026-08-23T04:57:55.305Z,3087,15527936,22466560,200,23,22594,2,1,1,0,0,0,186,0,0
94,2026-08-23T04:58:33.484Z,3126,15777792,22466560,206,25,22906,2,1,1,0,0,0,188,0,0
95,2026-08-23T04:59:10.516Z,3163,15921152,22466560,215,28,23109,2,1,1,0,0,0,190,0,0
96,2026-08-23T04:59:40.966Z,3193,15949824,22466560,218,29,23250,2,1,1,0,0,0,192,0,0
97,2026-08-23T05:00:11.384Z,3224,15826944,22466560,209,26,23438,1,0,1,0,0,0,194,0,0
98,2026-08-23T05:00:41.721Z,3254,15761408,22466560,206,25,23594,1,0,1,0,0,0,196,0,0
99,2026-08-23T05:01:12.146Z,3284,15941632,22466560,221,30,23781,2,1,1,0,0,0,198,0,0
100,2026-08-23T05:01:42.640Z,3315,15863808,22466560,215,28,24031,2,1,1,0,0,0,200,0,0
101,2026-08-23T05:02:13.086Z,3345,15466496,22466560,206,25,24250,2,1,1,0,0,0,202,0,0
102,2026-08-23T05:02:43.492Z,3376,15761408,22466560,206,25,24500,2,1,1,0,0,0,204,0,0
103,2026-08-23T05:03:15.131Z,3407,15896576,22466560,209,26,24641,2,1,1,0,0,0,206,0,0
104,2026-08-23T05:03:53.597Z,3446,15663104,22466560,206,25,24875,2,1,1,0,0,0,208,0,0
105,2026-08-23T05:04:33.652Z,3486,15671296,22466560,209,26,25047,2,1,1,0,0,0,210,0,0
106,2026-08-23T05:05:19.516Z,3532,15577088,22466560,197,22,25297,2,1,1,0,0,0,212,0,0
107,2026-08-23T05:05:57.560Z,3570,15699968,22466560,206,25,25422,2,1,1,0,0,0,214,0,0
108,2026-08-23T05:06:34.726Z,3607,15851520,22466560,206,25,25609,2,1,1,0,0,0,216,0,0
109,2026-08-23T05:07:05.283Z,3637,15966208,22466560,209,26,25828,2,1,1,0,0,0,218,0,0
110,2026-08-23T05:07:35.777Z,3668,15831040,22466560,206,25,26062,2,1,1,0,0,0,220,0,0
111,2026-08-23T05:08:06.267Z,3698,15814656,22466560,206,25,26297,1,0,1,0,0,0,222,0,0
112,2026-08-23T05:08:36.800Z,3729,15880192,22466560,209,26,26531,2,0,1,0,0,1,224,0,0
113,2026-08-23T05:09:07.333Z,3759,15949824,22466560,209,26,26859,2,1,1,0,0,0,226,0,0
114,2026-08-23T05:09:37.824Z,3790,15912960,22466560,209,26,27016,1,0,1,0,0,0,228,0,0
115,2026-08-23T05:10:08.294Z,3820,15896576,22466560,209,26,27234,1,0,1,0,0,0,230,0,0
116,2026-08-23T05:10:38.751Z,3851,15896576,22466560,206,25,27391,1,0,1,0,0,0,232,0,0
117,2026-08-23T05:11:09.477Z,3882,15966208,22466560,209,26,27688,1,0,1,0,0,0,234,0,0
118,2026-08-23T05:11:40.083Z,3912,15712256,22466560,206,25,28000,1,0,1,0,0,0,236,0,0
119,2026-08-23T05:12:11.800Z,3944,15781888,22466560,206,25,28094,1,0,1,0,0,0,238,0,0
120,2026-08-23T05:12:44.100Z,3976,15990784,22466560,206,25,28344,2,1,1,0,0,0,240,0,0
121,2026-08-23T05:13:17.201Z,4009,15990784,22466560,209,26,28516,2,1,1,0,0,0,242,0,0
122,2026-08-23T05:13:50.557Z,4043,15884288,22466560,209,26,28688,2,1,1,0,0,0,244,0,0
123,2026-08-23T05:14:24.231Z,4076,15892480,22466560,215,28,28953,2,1,1,0,0,0,246,0,0
124,2026-08-23T05:14:56.643Z,4109,15888384,22466560,209,26,29172,2,1,1,0,0,0,248,0,0
125,2026-08-23T05:15:28.790Z,4141,15966208,22466560,215,28,29438,2,1,1,0,0,0,250,0,0
126,2026-08-23T05:16:00.187Z,4172,15990784,22466560,209,26,29641,1,0,1,0,0,0,252,0,0
